product_name,sku,innkjøpspris,vår utpris (med mva),salgspris_uten_mva,inntekt (etter avsatt mva) pr produkt før skatt,prosentvis inntekt av salgspris før mva og skatt
Clip On Volume 50 cm 180g,,893.0,2199.0,1759.0,866,39
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Clip On Volume 55 cm 210g,,1141.0,2799.0,2239.0,1098,39
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Clip On Volume 60 cm cm 300g,,3899.0,4189.0,3351.0,−548,−13
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Clip On Basic 40 cm 95g,,374.0,899.0,719.0,345,38
,,,,,,
,,,,,,
Clip On Basic 50 cm 100g,,492.0,1099.0,879.0,387,35
,,,,,,
Tape 40 cm 50g 20 pcs,,256.0,529.0,423.0,167,32
,,,,,,
Tape 50 cm 50g 20 pcs,,315.0,749.0,599.0,284,38
,,,,,,
Tape 60 cm 50g 20 pcs,,374.0,899.0,719.0,345,38
,,,,,,
Keratin 40 cm 16g 20 fester,,103.0,299.0,239.0,137,46
,,,,,,
Keratin 50 cm 24g 30 fester,,150.0,499.0,399.0,249,50
,,,,,,
Keratin 60 cm 40g 40 fester,,291.0,759.0,607.0,316,42
,,,,,,
Keratin Treatment,,100.0,699.0,559.0,449,
